address,area,icon,id,image_url,is_private,lat,lon,meta,name,offentlig_avtale,phone_number,region_type,same_location_as,slug,strengths,type,updated_at
"Møllendalsveien 31, 5009 Bergen",,accel,98c9d27c-cae5-4b76-a12e-4ea119881af1,,False,60.379757368432024,5.342047431441425,,"Helse Bergen, AFR seksjon LAR Årstad",,55 97 07 00,3,,helse-bergen-afr-seksjon-lar-arstad,,0,3 måneder siden
"Toskavegen 400, 5936 Manger",,accel,98c9d27d-94ab-457e-9693-2cf411ed1baa,,False,60.64097839229929,4.991116940551549,,"Helse Bergen, AFR seksjon Floen Manger",,55 95 89 00,3,,helse-bergen-afr-seksjon-floen-manger,"Medikamentfritt tilbud. Særlig kompetanse på traumesensitiv tilnærming i miljøterapien. Har systematikk på å behandle relasjonelle/utviklings- og enkeltstående traumer. Behandlingen i døgn på Floen er forankret i poliklinikk. Før innleggelse gjøres forberedelse til døgn, poliklinisk behandler er med på behandlingsplanene i døgn og etter døgninnleggelse fortsetter poliklinikken oppfølging.",0,2 år siden
"Teipaveien 32, 1440 Drøbak",Helse Sør-Øst,accel,98c9d28a-c169-407a-a65d-26ac8c982801,,True,59.695600087763644,10.691956893662503,,"Stiftelsen Fossumkollektivet, Avdeling JentePrimæren",,91 16 72 22,4,,stiftelsen-fossumkollektivet-avdeling-jenteprimaeren,Individ i gruppe. Relasjon. Traumebevisst. Både kognitive og kroppslig tilnærming.,0,2 år siden
"Håkonsgaten 1, 5015 Bergen","Bydelene Fyllingsdalen, Laksevåg, Arna og Åsane i Bergen + Voss, Alver, Austrheim, Fedje, Masfjorden, Modalen og Osterøy",accel,98c9d27c-7773-4b25-b6cf-3125af3bd04b,,False,60.392207406819026,5.318106847323268,,"Helse Bergen, AFR seksjon poliklinikk Engenhuset",,55 97 01 00,3,"Korttidspost Engenhuset, HAB, seksjon Ambulant, seksjon Forskning og KoRus Bergen",helse-bergen-afr-seksjon-poliklinikk-engenhuset,"Faglig profil med særlig kompetanse på CBT, MI og MBT. God kompetanse på behandling av spillavhengighet.",0,1 år siden
"Ørsnesalleen 14, 3120 Nøtterøy","Horten, Tønsberg og Holmestrand kommune",accel,98c9d283-81e7-4e14-8791-e125ca0e946a,,False,59.25196064372371,10.426766236940189,,"Sykehuset i Vestfold, ARA Rus- og avhengighetspoliklinikk nord Nøtterøy",,33 34 51 00,4,,sykehuset-i-vestfold-ara-rus-og-avhengighetspoliklinikk-nord-notteroy,"Helhetlig, tverrfaglig samarbeid",0,2 år siden
"Peter Skredders veg 34, 2312 Ottestad",Opptaksområdet er fordelt på 42 kommuner i Innlandet.,accel,98c9d281-9017-4a6d-bb62-c7c0bcd5c32a,,False,60.781216412893635,11.157138376750664,,"Sykehuset Innlandet, Enhet for avrusning",,91 50 62 00,4,Enhet for utredning TSB,sykehuset-innlandet-enhet-for-avrusning,"Enheten har en høy grad av kvalifisert helsepersonell som møter pasienten med respekt og omsorg med utgangspunkt i individuelle behov. Vi innehar høy grad av brukermedvirkning. Ut over dette, jobber vi etter kognitive miljøterapeutiske prinsipper.",0,2 år siden
"Kalfarveien 88A, 5022 Bergen",Helse Vest,accel,98c9d287-850f-4bd5-a715-567ccf2da60d,,True,60.38594984051268,5.3584151133494595,,Stiftelsen CRUX Kalfaret behandlingssenter,,55 33 77 00,3,"Døgnklinikk, dagbehandling og poliklinikk",stiftelsen-crux-kalfaret-behandlingssenter,"Særlig kompetanse innen traumbevisst tilnærming. Samtidig høy grad av kompetanse innen kognitiv terapi og MI. Ansatte med lang ansiennitet, lav turnover i klinikken.",0,2 år siden
"Kirkebrygga 2-4, 1607 Fredrikstad",,accel,98c9d28d-f121-41c7-9b88-e9a132f4cb32,,False,59.21021236271483,10.940155548193117,,"Sykehuset Østfold, ARA Poliklinikk Fredrikstad vurderingsteam",,69 86 92 70,4,Rus- og avhengighetspoliklinikk Fredrikstad,sykehuset-ostfold-ara-poliklinikk-fredrikstad-vurderingsteam,,1,2 år siden
"Sjukehusveien 9, 2500 Tynset","Tynset, Alvdal, Folldal, Rendalen, Tolga, Os, Stor-Elvdal og Engerdal kommune",accel,98c9d282-7783-42bd-b2e1-27fe2ee66b9e,,False,62.27099267988223,10.778795496935011,,"Sykehuset Innlandet, DPS Tynset, poliklinikk",,91 50 62 00,4,DPS døgnavdeling,sykehuset-innlandet-dps-tynset-poliklinikk,Kognitiv terapi og motiverende intervju,0,2 år siden
"Baldisholvegen 85, 2350 Nes På Hedmark",Helse Sør-Øst,accel,98c9d28b-49bf-4f67-8cf9-acb20b66e6c2,,True,60.78176580977317,10.85942605123997,,Stiftelsen Fredheim,,40 14 53 60,4,,stiftelsen-fredheim,"Stiftelsen Fredheim tilbyr langtids tverrfaglig langtids døgnbehandling på inntil ett år for personer med rusavhengighet og tilbyr medikamentell behandling som for eksempel LAR, sentralstimulerende medisinering og bruk av benzodiazepiner. Struktur Behandlingen deles inn i tre faser: stabiliseringsfasen (0-2 måneder), behandlingsfasen (3-7 måneder) og tilbakeføringsfasen (8-12 måneder). Ulike områder blir vektlagt i de ulike fasene, som beskrevet under. Lengde og innhold i fasene tilrettelegges individuelt, og fasene vil overlappe på enkelte områder. Rammer Behandling foregår i tverrfaglige team med sosial-, sykepleie-, medisinsk-, erfarings- og psykologfaglig kompetanse, i tillegg til miljøfaglig personale. Pasienten får en hovedkontakt (sykepleier, vernepleier), og et tverrfaglig team som følger hen gjennom oppholdet. Behandlingsansvarlig spesialist er del av det tverrfaglige teamet, og har løpende dialog med hovedkontakt. Samhandling med eksterne samarbeidspartnere vektlegges under hele behandlingen. Behandlingsforberedende tiltak og oppfølging etter utskrivelse vektlegges som en del av rammene for behandlingen.",0,4 måneder siden
