AntallPaVenteliste,AntallPlasser,Avtaledato,Delelistelege,ErSio,Fastlege,Fellesliste,Fradato,Id,LedigePlasser,Oppstartsarsak,Valgbar,VentelisteTilgjengelig,auth_year,birth_year,gender,icon,lat,lon,offentlig_avtale
24,525,2025-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006605,0,,False,True,,,,filter,58.33936086102304,8.590577835932947,
271,1300,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5123,0,,False,True,,,,filter,58.376700363380934,8.679353135976523,
137,1200,2020-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002089,0,,False,True,,,,filter,58.38319463206863,8.671957327946336,
1,1600,2005-12-01T00:00:00,,False,,False,0001-01-01T00:00:00,5125,0,,False,True,,,,filter,58.340733957487224,8.598207276228345,
277,1000,2021-07-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002882,0,,False,True,,,,filter,58.3370273465271,8.583320345976373,
92,800,2022-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003377,0,,False,True,,,,filter,58.3458241567569,8.591208398837692,
44,700,2022-08-15T00:00:00,,False,,False,0001-01-01T00:00:00,100003755,0,,False,True,,,,filter,58.345805507385954,8.601370385086973,
275,1100,2022-12-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004109,0,,False,True,,,,filter,58.38003637866558,8.678186718768284,
21,700,2025-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006688,0,,False,True,,,,filter,58.34666453412627,8.603892956518939,
76,1000,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5111,0,,False,True,,,,filter,58.33746097245244,8.58570316953456,
5,900,2022-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003540,0,,False,True,,,,filter,58.34017379005409,8.592213370473551,
13,1100,2025-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006007,0,,False,True,,,,filter,58.34606476722772,8.594255491728829,
37,700,2024-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100005308,0,,False,True,,,,filter,58.348041978442566,8.605168570177522,
94,800,2021-10-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003104,0,,False,True,,,,filter,58.332735562892005,8.594741050165204,
80,900,2022-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003756,0,,False,True,,,,filter,58.34866946339277,8.596157084576,
7,600,2025-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006341,0,,False,True,,,,filter,58.34846180940082,8.60188812912303,
8,900,2020-08-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002308,0,,False,True,,,,filter,58.345172198527116,8.586752850082487,
300,1000,2011-08-01T00:00:00,,False,,False,0001-01-01T00:00:00,5128,0,,False,True,,,,filter,58.33346977861768,8.590775804147057,
14,1100,2022-12-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004121,0,,False,True,,,,filter,58.34006774063748,8.568825716999259,
8,1100,2022-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003381,0,,False,True,,,,filter,58.33822745820346,8.577057403347343,
79,900,2008-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,5122,0,,False,True,,,,filter,58.33328319737347,8.59278980322625,
9,700,2025-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006090,0,,False,True,,,,filter,58.34112261704951,8.566935214664149,
174,900,2013-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,5129,0,,False,True,,,,filter,58.336330008246826,8.586327461084124,
38,1400,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5113,0,,False,True,,,,filter,58.34390084484231,8.591309353503764,
0,900,,,False,,False,0001-01-01T00:00:00,100003932,1,,True,False,,,,filter,58.33959711669309,8.577655655335427,
29,600,2025-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006221,0,,False,True,,,,filter,58.345335960743,8.597944467820563,
29,750,2021-07-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002893,0,,False,True,,,,filter,58.45805959631712,7.227445025255458,
79,700,2022-10-19T00:00:00,,False,,False,0001-01-01T00:00:00,100004035,0,,False,True,,,,filter,58.46126080945778,7.224697169759567,
0,800,2005-08-01T00:00:00,,False,,True,0001-01-01T00:00:00,5277,12,,True,False,,,,filter,58.2922209479503,7.590674929724498,
7,200,2023-08-01T00:00:00,,False,,True,0001-01-01T00:00:00,100004659,0,,False,True,,,,filter,58.294889997041246,7.585299098444488,
0,300,2001-05-01T00:00:00,,False,,True,0001-01-01T00:00:00,5276,99,,True,False,,,,filter,58.2963664993487,7.582035031019599,
0,1000,2024-12-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006020,520,,True,False,,,,filter,58.14437487596762,7.985027525056342,
0,1350,2019-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,100001641,4,,True,False,,,,filter,58.143119960612346,8.002676880819564,
62,1100,2010-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,5388,0,,False,True,,,,filter,58.182864557031,8.103601925689594,
12,1000,2019-10-01T00:00:00,,False,,False,0001-01-01T00:00:00,100001865,0,,False,True,,,,filter,58.09436853430768,7.817321124524851,
124,1100,2009-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5398,0,,False,True,,,,filter,58.143487963256874,7.987793767999246,
0,930,2022-08-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003802,41,,True,False,,,,filter,58.148238763379375,8.006847938877373,
126,1270,2012-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,5413,0,,False,True,,,,filter,58.14913695175036,8.060973617601036,
2,1200,2013-10-01T00:00:00,,False,,False,0001-01-01T00:00:00,5406,0,,False,True,,,,filter,58.15150777904576,8.027885760813852,
90,1000,2015-07-01T00:00:00,,False,,False,0001-01-01T00:00:00,5425,0,,False,True,,,,filter,58.12699193700051,7.95764287725408,
0,1350,2020-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002125,3,,True,False,,,,filter,58.1629240490437,8.007104740068925,
0,1250,2012-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5414,26,,True,False,,,,filter,58.12645426778113,7.964004162846878,
4,1200,2017-10-01T00:00:00,,False,,False,0001-01-01T00:00:00,100000663,0,,False,True,,,,filter,58.12080543864745,7.96511045605719,
