address,icon,lat,lon,name,offentlig_avtale,source_url
"Kasper Andresensv. 7, 2816 Gjøvik",delete-alt,60.78460884492434,10.687234276053799,Vitusapotek Sandgården - Gjøvik,,https://www.felleskatalogen.no/medisin/apotek/GjoEvik/vitusapotek-sandgaarden-gjoevik-gjoevik
"Asheimv. 2, 4318 Sandnes",delete-alt,58.846303684373076,5.719833463949848,Vitusapotek Sandved,,https://www.felleskatalogen.no/medisin/apotek/Sandnes/vitusapotek-sandved-sandnes
"Leif Tronstads plass 6, Postboks 256, 1301 Sandvika",delete-alt,59.89280669508359,10.517444149256455,Vitusapotek Sandvika,,https://www.felleskatalogen.no/medisin/apotek/Sandvika/vitusapotek-sandvika-sandvika
"St. Marieg. 96/98, 1706 Sarpsborg",delete-alt,59.281151749691254,11.104671703032194,Vitusapotek Sarpsborg,,https://www.felleskatalogen.no/medisin/apotek/Sarpsborg/vitusapotek-sarpsborg-sarpsborg
"Sartorv. 12, Postboks 82, 5341 Straume",delete-alt,60.362589183944145,5.123842749087317,Vitusapotek Sartor Storsenter,,https://www.felleskatalogen.no/medisin/apotek/Straume/vitusapotek-sartor-storsenter-straume
"Reier Søbstads v. 18, Postboks 9605 Saupstad, 7478 Trondheim",delete-alt,63.36365293924386,10.346302570381033,Vitusapotek Saupstad Senter,,https://www.felleskatalogen.no/medisin/apotek/Saupstad/vitusapotek-saupstad-senter-saupstad
"Løenv. 6, 1653 Sellebakk",delete-alt,59.227079735121094,10.999926492685645,Vitusapotek Selbak,,https://www.felleskatalogen.no/medisin/apotek/Sellebakk/vitusapotek-selbak-sellebakk
"Semsbyv. 81, 3170 Sem",delete-alt,59.28334975268513,10.338563702298545,Vitusapotek Sem,,https://www.felleskatalogen.no/medisin/apotek/Sem/vitusapotek-sem-sem
"Hans Nielsen Haugesg. 37 E, 0481 Oslo",delete-alt,59.94038433521644,10.779315218655507,Vitusapotek Sinsen,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-sinsen-sinsen
"Falkenborgv. 9, 7044 Trondheim",delete-alt,63.43821094438253,10.462204825959986,Vitusapotek Sirkus Shopping,,https://www.felleskatalogen.no/medisin/apotek/Trondheim/vitusapotek-sirkus-shopping-trondheim
"Bruv. 17, Postboks 229, 2101 Skarnes",delete-alt,60.25659854792705,11.673013578493801,Vitusapotek Skarnes,,https://www.felleskatalogen.no/medisin/apotek/Skarnes/vitusapotek-skarnes-skarnes
"Trondheimsv. 123, 2020 Skedsmokorset",delete-alt,60.005412306664546,11.03391288875415,Vitusapotek Skedsmokorset,,https://www.felleskatalogen.no/medisin/apotek/Skedsmokorset/vitusapotek-skedsmokorset-skedsmokorset
"Skipperg. 4, 3921 Porsgrunn",delete-alt,59.13567430653174,9.637641490454868,Vitusapotek Skippergata,,https://www.felleskatalogen.no/medisin/apotek/Porsgrunn/vitusapotek-skippergata-porsgrunn
"Storv. 7, 1816 Skiptvet",delete-alt,59.4686398796187,11.169915845201247,Vitusapotek Skiptvet,,https://www.felleskatalogen.no/medisin/apotek/Skiptvet/vitusapotek-skiptvet-skiptvet
"Strandv. 45, 9180 Skjervøy",delete-alt,70.03556544410876,20.969662342820772,Vitusapotek Skjervøy,,https://www.felleskatalogen.no/medisin/apotek/SkjervoEy/vitusapotek-skjervoey-skjervoey
"Totenv. 771, 2848 Skreia",delete-alt,60.65366443703307,10.92830375986698,Vitusapotek Skreia,,https://www.felleskatalogen.no/medisin/apotek/Skreia/vitusapotek-skreia-skreia
"Nessagadå 1, 4280 Skudeneshavn",delete-alt,59.15241005851579,5.257751272699441,Vitusapotek Skudeneshavn,,https://www.felleskatalogen.no/medisin/apotek/Skudeneshavn/vitusapotek-skudeneshavn-skudeneshavn
"Slagenv. 57, 3117 Tønsberg",delete-alt,59.273497137155076,10.431682609290846,Vitusapotek Slagenveien Tønsberg,,https://www.felleskatalogen.no/medisin/apotek/ToEnsberg/vitusapotek-slagenveien-toensberg-toensberg
"Eternitv. 4, 3470 Slemmestad",delete-alt,59.7867986043213,10.495141923649024,Vitusapotek Slemmestad Handelspark,,https://www.felleskatalogen.no/medisin/apotek/Slemmestad/vitusapotek-slemmestad-handelspark-slemmestad
"Pustutv. 6-14, 1386 Billingstad",delete-alt,59.87603543192041,10.497555425004766,Vitusapotek Slependen,,https://www.felleskatalogen.no/medisin/apotek/Asker/vitusapotek-slependen-asker
"Sønsterudv. 32, 1412 Sofiemyr",delete-alt,59.80321452118793,10.824426643901552,Vitusapotek Sofiemyr,,https://www.felleskatalogen.no/medisin/apotek/OppegaArd/vitusapotek-sofiemyr-oppegaard
"Solakrossv. 2, 4050 Sola",delete-alt,58.884902282951685,5.657218786022257,Vitusapotek Sola,,https://www.felleskatalogen.no/medisin/apotek/Sola/vitusapotek-sola-sola
"Solsiden Kjøpesenter, Beddingen 4, 7042 Trondheim",delete-alt,63.43460614631435,10.41668110566506,Vitusapotek Solsiden,,https://www.felleskatalogen.no/medisin/apotek/Trondheim/vitusapotek-solsiden-trondheim
"Nye Stasjonsv. 29, 3430 Spikkestad",delete-alt,59.74465383410127,10.338844415073599,Vitusapotek Spikkestad,,https://www.felleskatalogen.no/medisin/apotek/Spikkestad/vitusapotek-spikkestad-spikkestad
